golf_australia_url,golf_australia_name,golf_australia_course_info,course_id,holes
https://www.golf.org.au/goomalling-golf-club/,Goomalling Golf Club,"Golf Course ID: 66003,  18 hole",66003,18
https://www.golf.org.au/goombungee-golf-club/,Goombungee Golf Club,"Golf Course ID: 40509,  18 hole",40509,18
https://www.golf.org.au/grafton-district-golf-club/,Grafton District Golf Club,"Golf Course ID: 21508,  18 hole",21508,18
https://www.golf.org.au/goolgowi-golf-club/,Goolgowi Golf Club,"Golf Course ID: 22506,  9 hole",22506,9
https://www.golf.org.au/golf-park-hobart/,Golf Park Hobart,0 hole,N/A,0
https://www.golf.org.au/golf-'n'-fun/,Golf 'n' Fun,0 hole,N/A,0
https://www.golf.org.au/golf-west-driving-range-and-mini-golf/,Golf West Driving Range and Mini Golf,0 hole,N/A,0
https://www.golf.org.au/goldfields-golf-club/,Goldfields Golf Club,"Golf Course ID: 65609,  0 hole",65609,0
https://www.golf.org.au/golf-'n'-games/,Golf 'n' Games,0 hole,N/A,0
https://www.golf.org.au/golden-vale-golf-club/,Golden Vale Golf Club,"Golf Course ID: 31410,  18 hole",31410,18
https://www.golf.org.au/latrobe-valley-golf-driving-range/,Latrobe Valley Golf Driving Range,0 hole,N/A,0
https://www.golf.org.au/gold-creek-country-club/,Gold Creek Country Club,"Golf Course ID: 20610,  18 hole",20610,18
https://www.golf.org.au/golf-city-ballarat/,Golf City Ballarat,0 hole,N/A,0
https://www.golf.org.au/gold-coast-country-club/,Gold Coast Country Club,"Golf Course ID: 40708,  9 hole",40708,9
https://www.golf.org.au/gnowangerup-golf-club/,Gnowangerup Golf Club,"Golf Course ID: 66704,  18 hole",66704,18
https://www.golf.org.au/glenview-golf-course/,Glenview Golf Course,0 hole,N/A,0
https://www.golf.org.au/gloucester-country-club/,Gloucester Country Club,"Golf Course ID: 21405,  9 hole",21405,9
https://www.golf.org.au/glenmore-heritage-valley-golf-club/,Glenmore Heritage Valley Golf Club,"Golf Course ID: 20309,  27 hole",20309,27
